,CAS,Broad_MOA,Specific_MOA,Chemical,Genus,Species,Taxa,Conc,Meets.Model,Water,Units
1,52686,AChE inhibition,Organophosphate,Trichlorfon,Ameiurus,Ameiurus melas,Fish,515,TRUE,FW,ug/L
2,52686,AChE inhibition,Organophosphate,Trichlorfon,Anguilla,Anguilla rostrata,Fish,1320,TRUE,FW,ug/L
3,52686,AChE inhibition,Organophosphate,Trichlorfon,Boeckella,Boeckella triarticulata,Crustacean,3,TRUE,FW,ug/L
4,52686,AChE inhibition,Organophosphate,Trichlorfon,Carassius,Carassius auratus,Fish,52380,TRUE,FW,ug/L
5,52686,AChE inhibition,Organophosphate,Trichlorfon,Carassius,Carassius auratus,Fish,46900,TRUE,FW,ug/L
6,52686,AChE inhibition,Organophosphate,Trichlorfon,Cherax,Cherax destructor,Crustacean (Decapod),55,TRUE,FW,ug/L
7,52686,AChE inhibition,Organophosphate,Trichlorfon,Claassenia,Claassenia sabulosa,Insect,22,TRUE,FW,ug/L
8,52686,AChE inhibition,Organophosphate,Trichlorfon,Daphnia,Daphnia magna,Crustacean,0.35,TRUE,FW,ug/L
9,52686,AChE inhibition,Organophosphate,Trichlorfon,Daphnia,Daphnia pulex,Crustacean,0.18,TRUE,FW,ug/L
10,52686,AChE inhibition,Organophosphate,Trichlorfon,Filinia,Filinia longiseta,Rotifer,14,TRUE,FW,ug/L
11,52686,AChE inhibition,Organophosphate,Trichlorfon,Gammarus,Gammarus lacustris,Crustacean,40,TRUE,FW,ug/L
12,52686,AChE inhibition,Organophosphate,Trichlorfon,Gammarus,Gammarus pseudolimnaeus,Crustacean,140,TRUE,FW,ug/L
13,52686,AChE inhibition,Organophosphate,Trichlorfon,Gammarus,Gammarus pseudolimnaeus,Crustacean,32,TRUE,FW,ug/L
14,52686,AChE inhibition,Organophosphate,Trichlorfon,Gammarus,Gammarus pseudolimnaeus,Crustacean,43,TRUE,FW,ug/L
15,52686,AChE inhibition,Organophosphate,Trichlorfon,Hesperoperla,Hesperoperla pacifica,Insect,16.5,TRUE,FW,ug/L
16,52686,AChE inhibition,Organophosphate,Trichlorfon,Ictalurus,Ictalurus punctatus,Fish,880,TRUE,FW,ug/L
17,52686,AChE inhibition,Organophosphate,Trichlorfon,Ictalurus,Ictalurus punctatus,Fish,7600,TRUE,FW,ug/L
18,52686,AChE inhibition,Organophosphate,Trichlorfon,Keratella,Keratella quadrata,Rotifer,16,TRUE,FW,ug/L
19,52686,AChE inhibition,Organophosphate,Trichlorfon,Lepomis,Lepomis macrochirus,Fish,3170,TRUE,FW,ug/L
20,52686,AChE inhibition,Organophosphate,Trichlorfon,Lepomis,Lepomis macrochirus,Fish,234,TRUE,FW,ug/L
21,52686,AChE inhibition,Organophosphate,Trichlorfon,Lepomis,Lepomis macrochirus,Fish,410,TRUE,FW,ug/L
22,52686,AChE inhibition,Organophosphate,Trichlorfon,Lepomis,Lepomis macrochirus,Fish,1880,TRUE,FW,ug/L
